kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
saya dapat kamar 205 , plafon di atas wastafel seperti mau lepas , kasur perlu diperbarui , per nya sudah rusak . pelayanannya baik , cukup tanggap . lantai kolam renang harus diperbarui , buat lecet kaki . | (kasur, perlu diperbarui, negative); (per nya, rusak, negative); (pelayanannya, baik, positive); (pelayanannya, cukup tanggap, positive); (lantai kolam renang, harus diperbarui, negative)
untuk kamar double no pemandangan , tidak sesuai dengan yang digambar . air panas juga tidak berfungsi . | (kamar, tidak sesuai, negative); (air panas, tidak berfungsi, negative)
mungkin bbrapa kamar perlu disediakan mini bar . sisanya semua baik oke . memuaskan . terimakasih yah . | (sisanya, baik, positive); (sisanya, oke, positive); (sisanya, memuaskan, positive)
kamar bagus , masa iya ada noda darah setitik . | (kamar, bagus, positive)
kamar nya tidak rapi . tetapi untuj bufger ccukuplah . | (kamar nya, tidak rapi, negative)
kesalahan tanggal booking . tidak bisa edit tanggal untuk menginap . teledor . | 
rak kamar mandi tidak pernah dibersihkan tolong tegur bagian bersihbersihnya agar krja nya serius jangan asalasal an kasur ada bercak darah , seprai ada nodanoda kelihatan tidak diganti bekas tamu sebelumnya 2 hari menginap perlengkapan mandi tidak diisi snack dan air minum juga tidak resepsionis galak . | (rak kamar mandi, tidak pernah dibersihkan, negative); (kasur, ada bercak darah, negative); (seprai, ada nodanoda, negative); (perlengkapan mandi, tidak diisi, negative); (snack, tidak diisi, negative); (air minum, tidak diisi, negative); (resepsionis, galak, negative)
pelayanan memuaskan , fasilitas oke , dekat dengan kota lagi . memuaskan . | (pelayanan, memuaskan, positive); (fasilitas, oke, positive)
recommended banget : ) . | 
bersih , nyaman , tenang . mbaknya baikbaik , di bantuin bawa barang dari lantai 4 . | (mbaknya, baikbaik, positive)
hotel bersih , kamar bersih , pelayanan memuaskan . | (hotel, bersih, positive); (kamar, bersih, positive); (pelayanan, memuaskan, positive)
sangat puas sekali . water heater mantaap , ac dngin . pokok nya recomended banget ! | (water heater, mantaap, positive); (ac, dngin, positive)
ac nya cuma buat pajangan saja tidak dingin . | (ac nya, tidak dingin, negative)
sangat senang dengan fasilitas kamarnya , akan lebih baik jika ada sarapan paginya . | (fasilitas kamarnya, sangat senang, positive)
suka karena murah dan juga dapat cemilan . | (cemilan, dapat, positive)
kamar agak kecil , tetapi bersih , cukup untuk keluarga kecil saya . pelayanan kamar baik , hanya air panasnya tidak panas , tetapi overall oke . | (kamar, agak kecil, negative); (kamar, bersih, positive); (pelayanan kamar, baik, positive); (air panasnya, tidak panas, negative); (overall, oke, positive)
bersih , nyaman , tetapi kasur nya agak keras . | (kasur nya, agak keras, negative)
kamar mandi jorok banget . | (kamar mandi, jorok banget, negative)
baik . sayangnya di kamar mandi tidak ada curtain sehingga saat mandi jadi banjir . | (curtain, tidak ada, negative)
mantap . kamarnya bagus . | (kamarnya, bagus, positive)
tidak sesuai dengan difoto kotor , seprai dan sarung bantal kuning , dan bau apek tidak recommended sama sekali . | (seprai, kuning, negative); (seprai, bau apek, negative); (sarung bantal, kuning, negative); (sarung bantal, bau apek, negative)
lokasi sangat nyaman . kamar bersih dan nyaman . tidak kalah sama fasilitas hotel . | (lokasi, sangat nyaman, positive); (kamar, bersih, positive); (kamar, nyaman, positive)
kamar tidak sesuai gambar , masih belum standar airy . | (kamar, tidak sesuai gambar, negative); (kamar, belum standar airy, negative)
bau toilet menyengat , sampai tercium saat tidur . | (bau toilet, menyengat, negative)
sudah baik , nyaman , trimaksih airy . | 
lumayan dengan harga murah . | (harga, murah, positive)
kamar bersih kamar mandi bersih , semuanya oke . | (kamar, bersih, positive); (kamar mandi, bersih, positive); (semuanya, oke, positive)
tempatnya bersih , nyaman , lengkap . | (tempatnya, bersih, positive); (tempatnya, nyaman, positive); (tempatnya, lengkap, positive)
hotel airy terbaik yang pernah saya temui . | (hotel, terbaik, positive)
. jadi pelanggan tetap . | 
bagus tempatnya , dekat rumah makan . | (tempatnya, bagus, positive)
sabun dan sampo tidak ada . biasanya airy bagi sabun dan sampo . air nya juga tidak kencang . | (sabun, tidak ada, negative); (sampo, tidak ada, negative); (air nya, tidak kencang, negative)
puas dengan fasilitas kamar dan pelayanannya . | (fasilitas kamar, puas, positive); (pelayanannya, puas, positive)
kamar bersih . jadwal breakfast biasanya 07.00 , ini belum ada apaapa . shower mati . handuk tidak ada . dan wifi macet . kecewa . | (kamar, bersih, positive); (shower, mati, negative); (handuk, tidak ada, negative); (wifi, macet, negative)
pelayannya kurang baik dan kurang sopan . | (pelayannya, kurang baik, negative); (pelayannya, kurang sopan, negative)
lokasi strategist dan kamar lumayan nyaman , penampilan kusam karena usia bangunan . | (lokasi, strategist, positive); (kamar, lumayan nyaman, positive)
kamar luas , ada kursi lipat , kurang cermin saja di kamar , cerminnya cuma yang di kamar mandi jadi harus menunggu yang di kamar mandi selasai baru bisa dandan ? | (kamar, luas, positive)
tempat sampahnya kurang . tetapi over all sudah bagus . | (tempat sampahnya, kurang, negative); (over all, bagus, positive)
kamar sudah cukup bagus dan luas . ac cukup lama baru dingin dan air kamar mandi agak bau ketika dibuka pertama kali . | (kamar, cukup bagus, positive); (kamar, luas, positive); (ac, cukup lama baru dingin, negative); (air kamar mandi, agak bau, negative)
kesan pertama waktu buka pintu , yang keciuman bahkan bau toiletnya : ( sarapannya ditingkatkan lagi iya . overall sih oke , tempat yang cocok untuk persinggahan . | (toiletnya, bau, negative); (sarapannya, ditingkatkan lagi, negative); (overall, oke, positive)
( + ) kamar cukup luas , staf ramah , sarapan enak meski hanya 1 macam ( - ) air kamar mandi yang baunya tidak enak . | (kamar, cukup luas, positive); (staf, ramah, positive); (sarapan, enak, positive); (air kamar mandi, baunya tidak enak, negative)
yang perlu di perbaiki adalah handuknya yang sudah kusam dan tidak wangi , yang lain sudah cukup baik . | (handuknya, perlu di perbaiki, negative); (handuknya, kusam, negative); (handuknya, tidak wangi, negative); (yang lain, cukup baik, positive)
kamarnya luas , tempatnya mudah dijangkau , dan viewnya bagus di lantai 6 . pas banget buat celebrate new year kemarin . tetapi kok sabtu minggunya jadi tidak bisa di booked lagi iya ? tolong recheck untuk room availablenya di weekend . | (kamarnya, luas, positive); (tempatnya, mudah dijangkau, positive); (viewnya, bagus, positive)
pelayanan jelek banget . rasa mau pindah hotel saja . tidak ramah karyawan nya . mau sarapan pagi saja . kita sebagai tamu bisa di atur . waduh masak yang bayar yang di atur . kacau . | (pelayanan, jelek banget, negative); (karyawan nya, tidak ramah, negative)
sangat praktis dan sangat memuaskan . | 
setiap menginap di airy pasti puas banget . pelayanannya ramah . cuma yang ini . kamar mandinya bau . air panasnya tidak nyala . tidak ada tempat sampah di kamar . tidak ada snack . padahal setiap menginap di airyroom selalu disediakan . | (pelayanannya, ramah, positive); (kamar mandinya, bau, negative); (air panasnya, tidak nyala, negative); (tempat sampah, tidak ada, negative); (snack, tidak ada, negative)
kamar no. 6 shower air hangat tidak berfungsi dengan baik , banyak rambut diselimut . | (shower air hangat, tidak berfungsi dengan baik, negative); (diselimut, banyak rambut, negative)
villanya bersih . letaknya strategis dan udaranya dingin . cocok untuk keluarga istirahat menikmati udara sejuk dan jauh dari keramaian . | (villanya, bersih, positive); (letaknya, strategis, positive); (udaranya, dingin, positive)
bagus , walopun datang dini hari namun tetap dilayani dengan baik . | (dilayani, baik, positive)
nyaman dan ekonomis . | 
memuaskan , fasilitas baik , menyenangkan . | (fasilitas, baik, positive); (fasilitas, menyenangkan, positive)
saya sangat puas . kamar rapi dan bersih . staf sangat ramah dan helpful . kamar saya dilantai 3 dan tidak ada lift tetapi staf siap membantu . dekat dengan tempat makan , bakery , dan minimarket . sangat rekomended . | (kamar, rapi, positive); (kamar, bersih, positive); (staf, sangat ramah, positive); (staf, helpful, positive); (lift, tidak ada, negative); (staf, siap membantu, positive)
lokasi strategis ke kota tua tinggal jalan kaki . | (lokasi, strategis, positive)
beberapa kali pesan kamar di airy tetapi cuma satu kali dapat snack dan toiletris . | (snack, cuma satu kali, negative); (toiletris, cuma satu kali, negative)
kamar kurang bersih . | (kamar, kurang bersih, negative)
memuaskan meski pada saat akan check in proses dari pihak hotel cukup lama lebih dari 30 menit baru bisa masuk ke kamar dari pukul 14:00 . | (check in, cukup lama, negative)
oke , kamar luas nyaman . tetapi di ujung . | (kamar, luas, positive); (kamar, nyaman, positive)
kamar baik , semua sesuai dengan yang dijanjikan airy rooms , tetapi untuk pelayanan hotel dan kebersihan harus ditingkatkan lagi . sarapan cuma ada mie dan telur orak arik , sangat kurang . | (kamar, baik, positive); (semua, sesuai, positive); (pelayanan, harus ditingkatkan lagi, negative); (kebersihan, harus ditingkatkan lagi, negative); (sarapan, sangat kurang, negative)
pesan yang double , dikasih yang twin . keluhan terus baru di pindah dan harus di siapkan dulu cepetcepet . tidak dapat bantal kecil airy di tempat tidur . terimakasih . | (bantal kecil airy, tidak dapat, negative)
kamar bagus , nyaman . | (kamar, bagus, positive); (kamar, nyaman, positive)
kamar bersih , wangi cukup nyaman untuk liburan buat backpacker murah tetapi tidak murahan . | (kamar, bersih, positive); (kamar, wangi, positive); (kamar, cukup nyaman, positive)
budget hotel yang sangat baik , meskipun murah dan kamar sempit . tetapi kamarnya , handuk , bantal sampai lantai nya wangi . ini points yang penting bagi saya . | (budget hotel, sangat baik, positive); (budget hotel, murah, negative); (kamar, sempit, negative); (kamarnya, wangi, positive); (handuk, wangi, positive); (bantal, wangi, positive); (lantai, wangi, positive)
bersih . ramah . | 
bersih , nyaman dan helpful . bakal ke sana lagi kalau ke batu . | 
kamarnya bagus , bersih dan rapi . top deh . | (kamarnya, bagus, positive); (kamarnya, bersih, positive); (kamarnya, rapi, positive)
untuk harganya yang murah cukup memuaskan . | (harganya, murah, positive); (harganya, cukup memuaskan, positive)
keamanan hotel mengecewakan . ktp saya beserta tamu hotel lainnya hilang dicuri dikarenakan kelalaian penjagaan . ditambah cctv yang ada di hotel ternyata tidak aktif . | (keamanan hotel, mengecewakan, negative)
yang berkesan : petugas ramah , menu sarapan menarik . yang perlu diperbaiki : handuk supaya diganti baru . | (petugas, ramah, positive); (sarapan, menarik, positive); (handuk, perlu diperbaiki, negative)
toilet , closet duduk tidak lancaf . | (closet duduk, tidak lancaf, negative)
sarapan pagi standar . | (sarapan pagi, standar, negative)
nyaman dan strategis . cuma kamar mandi kurang bersih . semoga lebih baik lagi . terimakasih airy . | (kamar mandi, kurang bersih, negative)
bagus murah dan dekat tempat belanja pusat kota juga . | 
kurang nyaman kurang bersih kurang rapi dan kurang ramah pelayanannya sangat sangat kecewa baru kali ini inap di airy rooms kecewa sebelumnya sya selalu senang mnginap di airyromms . | (pelayanannya, kurang ramah, negative)
saya menginap 4 dan , jatah snack dan perlengkapan mandi ( sabun dan lainlain ) hanya di berikan saat hari pertama c in . untuk kebersihan dan sarapan oke . | (kebersihan, oke, positive); (sarapan, oke, positive)
kamar luas ac lama banget dinginnya + airnya lengket dan bau . | (kamar, luas, positive); (ac, lama banget dinginnya, negative); (airnya, lengket, negative); (airnya, bau, negative)
pelayanan baik , room pelayanan baik , pelayanan ramah . cuma air kurang hangat sedikit tetapi over all sukak . | (pelayanan, baik, positive); (room pelayanan, baik, positive); (pelayanan, ramah, positive); (air, kurang hangat sedikit, negative); (over all, sukak, positive)
pelayanannya super ramah , hanya kamar mandi sedikit kurang bersih , kalau kamar oke , besar dan bersih , recommended . | (pelayanannya, super ramah, positive); (kamar mandi, sedikit kurang bersih, negative); (kamar, oke, positive); (kamar, besar, positive); (kamar, bersih, positive)
hotel sudah tua , jadi karpet terkesan bau apek , tetapi kelengkapan kamar baik , walaupun kami dapat kamar standar bukan kamar airy room , menu sarapan sangat baik . | (hotel, tua, negative); (karpet, bau apek, negative); (kelengkapan kamar, baik, positive); (menu sarapan, sangat baik, positive)
kamar mandi bau , airnya bau . | (kamar mandi, bau, negative); (airnya, bau, negative)
tidur nyaman , murah airy pilihanya . | (tidur, nyaman, positive)
kamar bagus , sarapan enak , pegawai semuanya sangat ramah . | (kamar, bagus, positive); (sarapan, enak, positive); (pegawai semuanya, sangat ramah, positive)
berisik suasana diluar kamar dan kamar mandi sempit . | (suasana, berisik, negative); (kamar mandi, sempit, negative)
1 . kamar 209 , bau apek karena lembab di toilet plafonnya menjamur dan lubang . 2 . gelas buat minum di lantai 1 kotot dan tidak cukup 3 . cukup sekali saja inap disana . apa gunanya airy tidak bisa keep standar . | (kamar, bau apek, negative); (toilet, lembab, negative); (plafonnya, menjamur, negative); (gelas, kotot, negative); (gelas, tidak cukup, negative)
keamanan terjaga karena ada cctv dan keamanan . | (keamanan, terjaga, positive)
overall tempatnya memuaskan . hanya kamar mandi dan toilet yang mengecewakan . showernya rusak , dudukan toilet juga sudah rusak dan kotor . | (tempatnya, memuaskan, positive); (kamar mandi, mengecewakan, negative); (toilet, mengecewakan, negative); (showernya, rusak, negative); (dudukan toilet, rusak, negative); (dudukan toilet, kotor, negative)
fasilitas oke punya . | (fasilitas, oke, positive)
kali ini sangat kecewa . tidak ada mineral water , tidak ada handuk , kamar agak kotor . mengapa seperti itu ? : ( . | (mineral water, tidak ada, negative); (handuk, tidak ada, negative); (kamar, agak kotor, negative)
masuk pertama kemarin kamar mandi masih belum dibersihkan , masuk kamar langsung bau tidak enak , kedepannya mohon diperbaiki : ) . | (kamar mandi, belum dibersihkan, negative); (kamar, bau, negative); (kamar, tidak enak, negative)
resepsionisnya tidak available 24 hours . saya check in pukul 4 , tidak ada resepsionisnya . setelah menelfon dan menunggu baru dia keluar . ketik check out juga saya harus menunggu 30 menit lebih untuk dilayani . | (resepsionisnya, tidak available 24 hours, negative); (resepsionisnya, tidak ada, negative)
sarapan nya untuk lauknya porsinya terlalu sedikit , saluran televisi tidak jelas dan buram , untuk kondisi kamar bersih dan bagus . | (sarapan nya, terlalu sedikit, negative); (saluran televisi, tidak jelas, negative); (saluran televisi, buram, negative); (kamar, bersih, positive); (kamar, bagus, positive)
puas banget . bersih nyamaan muraah . saran , kalau bisa diperbanyak kamar yang disewakan untuk airy rooms , sering kehabisan pesan kamar di sini karena kamar lainnya dipakai kos hiks : ( . | 
kamar sangat memuaskan . sedikit catatan sayang , lokasi penginapan ini di dalam gang . mungkin akan agak sulit ditemukan . | (kamar, sangat memuaskan, positive)
wifi baik dan ada di beberapa titik . | (wifi, baik, positive)
semua sangat bagus overall cuma pintu kamar mandi saja yang gbsa tutup dan malam minggu sangat berisik s . | (semua, sangat bagus, positive); (overall, sangat bagus, positive); (pintu kamar mandi, gbsa tutup, negative)
posisi kamar lantai 4 dan naik pakai tangga , kondisi badan sedang lelah apalagi turun dari pesawat yang delay . | 
kamarnya tidak ada jendela , ac kurang dingin , seprei/bantal agak berdebu . semalaman hidung juga gatalgatal . kamar kecil . breakfast ala kadarnya . oke untuk tidur 1 malam . wifi nya kencang karena dapat kamar dekat router wifi . terimakasih untuk snack complimentarynya . | (jendela, tidak ada, negative); (ac, kurang dingin, negative); (seprei/bantal, agak berdebu, negative); (kamar, kecil, negative); (breakfast, ala kadarnya, negative); (wifi nya, kencang, positive)
murah , nyaman , sinyal tv nya kurang bagus , wifi masih belum stabil , tidak ada keset , remote ac nya suka macet . | (sinyal tv nya, kurang bagus, negative); (wifi, belum stabil, negative); (keset, tidak ada, negative); (remote ac nya, macet, negative)
dengan harga terjangkau bisa dibilang memuaskan . kamar bersih , nyaman , dan tenang . cuma di kamar yang saya pesan pintu kamar mandi rusak . | (harga, terjangkau, positive); (kamar, bersih, positive); (kamar, nyaman, positive); (kamar, tenang, positive); (pintu kamar mandi, rusak, negative)
tempatnya , harga , dan pelayanan sesuai dengan harga . | (tempatnya, sesuai, positive); (harga, sesuai, positive); (pelayanan, sesuai, positive)
pembuangan air di kamar mandi tersumbat . | (pembuangan air, tersumbat, negative)
servicenya bagus sekali , tempat bersih , nyaman luas , cocok untuk keluarga , kolam renangnya juga bersih . | (servicenya, bagus sekali, positive); (tempat, bersih, positive); (tempat, nyaman, positive); (tempat, luas, positive); (kolam renangnya, bersih, positive)
nyaman , ramah petugasnya . | (petugasnya, ramah, positive)
tempat menginap yang bagus , lokasi tidak jelimet , tidak susah cari makan , banyak gojek , gampang kemanakemana , kondisi kamar tenang , bersih , ac adem , air hangatnya luar biasa . recommended deh sama tempat ini . | (tempat, bagus, positive); (lokasi, tidak jelimet, negative); (kamar, tenang, positive); (kamar, bersih, positive); (ac, adem, positive); (air hangatnya, luar biasa, positive)
pelayanan memuaskan , cuma air hangatnya tidak jalan . | (pelayanan, memuaskan, positive); (air hangatnya, tidak jalan, negative)
saya sudah beberapa kali tidur di hotel yang harganya 200rb'an tetapi hotel ini yang benarbenar buat tamu nya bisa buat betah di ruangan saya ada kulkas kecil jadi tambah jatuh cinta saya , kalau kurang nya sih cuma ac nya tidak full dingin dan lampu tidur di atas kasur tidak bisa di hidupkan tetapi jujur ini hotel mulai sekarang jadi langganan saya tia bulan bobo disini . | (ac nya, tidak full dingin, negative); (lampu tidur, tidak bisa di hidupkan, negative)
hotel di pusat kota dan kamarnya bersih . | (kamarnya, bersih, positive)
kolam bernang tidak bisa digunain . pokonya kecewa banget . | (kolam, tidak bisa digunain, negative)
kamar yang dikasih terlalu jauh , jadi lelah turun naik tangga . harga cucokk mehong kok . | (kamar, jauh, negative); (harga, cucokk, positive)
sering padam nyala listriknya . | (listriknya, sering padam nyala, negative)
kamar rapi , bersih , tv bagus , fasilitas bagus kamar mandi rapi , bersih , handuk lengkap bersih , terawat . | (kamar, rapi, positive); (kamar, bersih, positive); (tv, bagus, positive); (fasilitas, bagus, positive); (kamar mandi, rapi, positive); (kamar mandi, bersih, positive); (handuk, lengkap, positive); (handuk, bersih, positive); (handuk, terawat, positive)
air wc sendat . air sedikit handuk tidak standar hotel . | (air wc, sendat, negative); (air, sedikit, negative); (handuk, tidak standar, negative)
sangat bagus dan bersih seperti di gambar . | 
tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga . | (lift, tidak ada, negative)
cukup bagus kalau cuma untuk dipakai tidur . kalau dipakai berlama lama agak kurang nyaman saja . he . overall oke lah . bersih . | (overall, oke, positive)
airnya kecil , tempatnya jorok , bau , kotor , seprai dan sarung bantalnya seperti tidak diganti , tidak ada tempat parkir - not recomended - . | (airnya, kecil, negative); (tempatnya, jorok, negative); (tempatnya, bau, negative); (tempatnya, kotor, negative); (seprai, tidak diganti, negative); (sarung bantalnya, tidak diganti, negative); (tempat parkir, tidak ada, negative)
tempat dan pelayanan cukup memuaskan . | (tempat, cukup memuaskan, positive); (pelayanan, cukup memuaskan, positive)
waw kamarnya luar biasa . bagus banget . bisa lihat pemandangan kota jogja . | (kamarnya, luar biasa, positive); (kamarnya, bagus banget, positive)
hotel sangat nyaman . | (hotel, sangat nyaman, positive)
ac kurang dingin . yang lainnya sudah oke . | (ac, kurang dingin, negative); (yang lainnya, oke, positive)
kasurnya agak reot jadi diganjal pakai batu . | (kasurnya, agak reot, negative)
dari segi fasilitas nya sekarang kurang dari kamar mandi nya showernya tidak ada pengikatnya . dari pelayanannya sedikit lebih di tingkatkan lagi . | (fasilitas nya, kurang, negative); (showernya, tidak ada pengikatnya, negative); (pelayanannya, sedikit lebih di tingkatkan lagi, negative)
lumayan bersih dan nyaman . | 
saya kecewa ketika saya menginap tidak ada di sediakan air minum , kamarnya bersemut , dan obat sikat gigi nya keras . | (air minum, tidak ada di sediakan, negative); (kamarnya, bersemut, negative); (obat sikat gigi nya, keras, negative)
bangus , pas dapat kamar depan kolam . | 
romm nya bagus tetapi saysng lokasi nya di dalam pemukiman yang padat . | (romm nya, bagus, positive)
ac kurang dingin dan kamar model lama . | (ac, kurang dingin, negative); (kamar, model lama, negative)
sudah berkali kali repeat order di airy karena selalu suka dengan compliment yang diberikan . | (compliment, suka, positive)
foto kamar tidak sesuai denga hotel yang di tenpati . sama saja nipu . tetapi iya sesuai sama harga untungnya . | (kamar, tidak sesuai, negative)
recommended , pelayanan terbaik . | (pelayanan, terbaik, positive)
bagus sekali semuanya . | (semuanya, bagus sekali, positive)
its so worth it ! kamar yang luas , kebersihan lumayan , lokasi strategis . cukup menyenangkan sih menginap disini . apalagi waktu kemarin itu ada diskon 50 , jadi jatohnya itu murah banget ! . | (kamar, luas, positive); (kebersihan, lumayan, positive); (lokasi, strategis, positive)
meskipun sempat merasakan gempa , menyenangkan , pelayanan oke kamar oke . | (pelayanan, oke, positive); (kamar, oke, positive)
kamar nyaman hanya saja pelayanan yang menunggu penginapan kurang joss . | (kamar, nyaman, positive); (pelayanan, kurang joss, negative)
semua baik , cuma kurang , kemarin tidak ada kursi , jadi tidak bisa mengerjakan beberapa tugas dengan nyaman di meja . | (semua, baik, positive); (kursi, tidak ada, negative)
wifi nya jelek . | (wifi nya, jelek, negative)
tempatnya bersih , dekat dengan penjual makanan jadi tinggal milih mau makan apa , pelayannya juga ramah . | (tempatnya, bersih, positive); (pelayannya, ramah, positive)
bagus tmptnya , ruangannya luas , nyaman banget . | (tmptnya, bagus, positive); (tmptnya, nyaman banget, positive); (ruangannya, luas, positive); (ruangannya, nyaman banget, positive)
kamar nya kotor dan sempit , handuknya tipis dan bau air mani . kamar mandi nya banjir air lama mengalir . saya langsung cek out setelah melihat kondisi kamarnya . pokoknya tidak recomended banget . nyesal juga tidak sesuai sama fotonya menipu banget kapok deh . | (kamar nya, kotor, negative); (kamar nya, sempit, negative); (handuknya, tipis, negative); (handuknya, bau air mani, negative); (kamar mandi nya, banjir, negative)
air tidak ada . kamar panas pul . | (air, tidak ada, negative); (kamar, panas pul, negative)
menyenangkan inap disini , sudah beberapa x tidak kecewa , terimakasih airy ariandri . | 
nyaman , kamar bersih , wifi cepat . | (kamar, bersih, positive); (wifi, cepat, positive)
pelayanan sangat memuaskan , perbaiki ac karena tidak bisa diatur suhunya . | (pelayanan, sangat memuaskan, positive); (ac, tidak bisa diatur suhunya, negative)
lumayan tetapi bantal airy nya sedikit kotor . | (bantal airy nya, sedikit kotor, negative)
kamar mandi kurang baik dan bau rokok . | (kamar mandi, kurang baik, negative); (kamar mandi, bau rokok, negative)
pelayanannya baik . banyak kuliner di dekat hotel untuk memudahkan bagi yang mau berkulinaria . | (pelayanannya, baik, positive)
kebersihan nya perlu di tingkat kan lagi . | (kebersihan nya, perlu di tingkat kan lagi, negative)
hotelnya sangat iconic , ada kolam renang juga . kamar luas dan lokasi sangat mudah ditemukan . | (hotelnya, sangat iconic, positive); (kolam renang, ada, positive); (kamar, luas, positive); (lokasi, sangat mudah ditemukan, positive)
kamar tidak kedap suara . proses check in tidak baik . | (kamar, tidak kedap suara, negative); (proses check in, tidak baik, negative)
kamar airy mnynangkan dapat snack gratis dari airy cuma kolam renang dewasa tidak ada dan airnya agak brdebu mohon di brsihkn biar acra mnginap jadi mnynangkan . | (kamar, mnynangkan, positive); (snack gratis, dapat, positive); (kolam renang dewasa, tidak ada, negative); (airnya, agak brdebu, negative)
airnya bocor . pintu harus dikunci . | (airnya, bocor, negative)
kamar sangat nyaman bersih interior baru semua untuk kelas menengah kbwah dengan harga yang sangat ekonomis ( harga anak kos fasilitas bos ) . | (kamar, sangat nyaman, positive); (kamar, bersih, positive); (harga, sangat ekonomis, positive)
kondisi tempatnya kurang baik dibandingkan tempat sekelasnya . | (tempatnya, kurang baik, negative)
desain minimalis . | (desain, minimalis, negative)
bersih , nyaman , mantap , bagus . | 
lantai dan tempat tidur kurang bersih , akses agak sulit , lainnya sudah sangat baik . | (lantai, kurang bersih, negative); (tempat tidur, kurang bersih, negative); (akses, agak sulit, negative); (lainnya, sangat baik, positive)
kamar bersih dan nyaman pelayanan ramah dekat dari pvj berjalan kali kurang lebih 10 menit . | (kamar, bersih, positive); (kamar, nyaman, positive); (pelayanan, ramah, positive)
keren sudah , tidak salah untuk memberikan kepercayaan dengan airy hotel . | 
lokasi dekat dengan beberapa lokasi liburan . | 
minus : resepsionis yang lakilaki kurang ramah . | (resepsionis, kurang ramah, negative)
sangat puas dengan tempat dan pelayanannya . | (tempat, sangat puas, positive); (pelayanannya, sangat puas, positive)
washtafel tersumbat , keran air kecil , kunci pintu tidak bisa , kulkas netes air terus sampai basah lantainya . lainnya oke , overall cukup memuaskan . anakanak senang , kolam renangnya cukup bersih . sarapannya soto , enak . kamarnya besar . | (washtafel, tersumbat, negative); (keran air, kecil, negative); (kunci pintu, tidak bisa, negative); (kulkas, netes air, negative); (lainnya, oke, positive); (overall, cukup memuaskan, positive); (kolam renangnya, cukup bersih, positive); (sarapannya, enak, positive); (kamarnya, besar, positive)
dekat dengan tempat makan tetapi sayangnya tidak disediakan tempat parkir dan kamarnya sangat sempit . | (tempat parkir, tidak disediakan, negative); (kamarnya, sangat sempit, negative)
pelayanan ramah , resepsionis sangat membantu , excellent . | (pelayanan, ramah, positive); (resepsionis, sangat membantu, positive)
hari terakhir menginap sedikit mengecewakan , air kotor kehitaman pada hari minggu . | (air, kotor, negative)
sarapannya perlu diganti ke prasmanan , wifi nya diaktifkan , tempatnya tenang jauh dari keramaian kota . | (sarapannya, perlu diganti, negative); (wifi nya, diaktifkan, negative); (tempatnya, tenang, positive)
ktnya ada hot showernya ternyata tidak ada , di buat di kasih air minum tetapi nyatanya juga tidak . mohon di perbaiki lagi . terimakasih . | (hot showernya, tidak ada, negative)
hanya saja ac nya kurang dingin . tidak ada sendalnya . semuanya nyaman kebersihan nyaman . tetapi kenapa di jakut hanya sedikit hotel airy nya . | (ac nya, kurang dingin, negative); (sendalnya, tidak ada, negative); (semuanya, nyaman, positive); (kebersihan, nyaman, positive)
waktu check in saya harus menunggu selama hampir 1 jam , dikamar ac saya tidak dingin . ketika dikamar tibatiba kamar saya mau dibuka dari luar oleh karyawan hotel yang ternyata double booking , kesalahan dari hotel . | (ac, tidak dingin, negative)
hot shower tidak ada , kamarnya kotor dan bau amis . | (hot shower, tidak ada, negative); (kamarnya, kotor, negative); (kamarnya, bau amis, negative)
kamar sesuai harga . pelayanan staf sangat baik . ada air panas . tetapi sepray kuning semua . handuknya coklat bau belum kering . tidak ada lift tetapi saya betah disana . | (kamar, sesuai, positive); (pelayanan staf, sangat baik, positive); (air panas, ada, positive); (sepray, kuning, negative); (handuknya, coklat, negative); (handuknya, bau, negative); (handuknya, belum kering, negative); (lift, tidak ada, negative)
kamar bagus bersih hanya staf ratarata kurang ramah garing banget . | (kamar, bagus, positive); (kamar, bersih, positive); (staf, kurang ramah, negative); (staf, garing banget, negative)
tempat nya nyaman . | (tempat nya, nyaman, positive)
bau kamarnya kurang wangi . kalau diberi pengharum ruangan lebih baik . | (kamarnya, kurang wangi, negative)
dapat kamar di lantai 3 , capek harus naik tangga , lantai kamar 302 bersih tetapi terkesan kotor . tetapi overall oke lah . | (lantai kamar, bersih, positive); (lantai kamar, kotor, negative); (overall, oke, positive)
sekitar tempat resepsionis banyak kucing dan bau busuk . keadaan depan penginapan tidak seperti yang di internet . | (tempat resepsionis, banyak kucing, negative); (tempat resepsionis, bau busuk, negative)
luas , cocok bagi traveler . | 
bersih , nyaman dan airy terbaik yang pernah saya inapin . | (airy, terbaik, positive)
di tampilan sebelumnya , ini dianggap expired . jadi saya cari hotel lagi . pakai airy , dan sampai hotel penuh . sekarang ini ternyata sudah terbayar . saya tidak memakainya , karena saya kira tidak berhasil memesan . sepertinya selesai saja saya pakai airy . | 
payah . sistem book nya error . di aplikasi hotel ini tersedia , sudah book , sudah lunas , eh tahu tahu disananya penuh ! | (sistem book nya, error, negative)
hanya pada saat tengah malam subuh ada yang mengetuk pintu dan bunyikan bel sampai 20menitan pintu tidak dibuka . | 
