1 | oke banget , tetapi ac nya tidak bisa diatur suhu nya . | (ac nya, tidak bisa diatur, negative)
328 | kamar bersih tetapi agak bau dan asalnya dari lemari pakaian . alhasil lemari tidak kepake karena takut baunya ikut . biaya tambahan 1 orang untuk sarapan terlalu tinggi untuk ukuran hotel bintang 3 . | (kamar, bersih, positive); (kamar, agak bau, negative)
329 | kamar bersih tetapi agak bau dan asalnya dari lemari pakaian . alhasil lemari tidak kepake karena takut baunya ikut . biaya tambahan 1 orang untuk sarapan terlalu tinggi untuk ukuran hotel bintang 3 . | (kamar, bersih, positive); (kamar, agak bau, negative)
330 | nyaman banget sudah , harga oke . cuma air panasnya lama . | (harga, oke, positive); (air panasnya, lama, negative)
331 | lumayan lah untuk bermalam disini . | 
332 | tidak terlalu mahal . tetapi memang tempatnya standar sekali . | (tempatnya, standar sekali, negative)
333 | tidak terlalu mahal . tetapi memang tempatnya standar sekali . | (tempatnya, standar sekali, negative)
334 | cukup bersih . kondisi keran kamar mandi saya yang harus diperbaiki . susah bukanya . | (keran kamar mandi, harus diperbaiki, negative); (keran kamar mandi, susah bukanya, negative)
335 | tempatnya nyaman , bersih , tempo dulu banget . | (tempatnya, nyaman, positive); (tempatnya, bersih, positive)
336 | pengalaman menyenangkan , tetapi agak terganggu dengan asap rokok dari kamar sebelah . yang menghuni selalu merokok di depan kamarnya . | 
337 | pelayanan baik , staf yang ramah . pengalaman yang sangat menggembiran . | (pelayanan, baik, positive); (staf, ramah, positive)
338 | sangat menyenangkan , awalnya sempat mencari cari lokasi namun tidak menjadi masalah karena tidak terlalu jauh . | 
339 | sangat menyenangkan , awalnya sempat mencari cari lokasi namun tidak menjadi masalah karena tidak terlalu jauh . | 
340 | sangat menyenangkan , awalnya sempat mencari cari lokasi namun tidak menjadi masalah karena tidak terlalu jauh . | 
341 | kualitas wifi sangat buruk sekali bahkan kadangkadang mati berkali kali saya menginap disini tetapi kualitas wifi tetap saja begitu bahkan semakin parah . tolong diperhatikan . | (wifi, sangat buruk sekali, negative)
342 | lumayan ramah tetapi saya pul jam 1 sudah di kunci : ( . | 
343 | sangat nyaman . snack nya kurang banyak . | (snack nya, kurang banyak, negative)
344 | lumayan , ramah pelayanan , nyaman tempat nya , betah 5hari . | (pelayanan, ramah, positive); (tempat nya, nyaman, positive)
345 | nyaman dan sangat murah dengan kamar yang sangat bagus , namun seprai sedikit kusam dan ada sedikit noda , shower kurang berfungsi , dan lantai berdebu . walaupun begitu tetap recommended karena nyaman dan ada rooftop untuk sunrise . | (kamar, sangat bagus, positive); (seprai, sedikit kusam, negative); (seprai, ada sedikit noda, negative); (shower, kurang berfungsi, negative); (lantai, berdebu, negative)
346 | sangat tidak recomended . | 
347 | airy eco sanur beach . lokasinya sangat dekat dengan pantai sanur . berada di ananda beach hotel . | 
348 | fasilitaa lengkap , nyaman , dan petugasnya juga ramahramah . next tidak ush caricari lagi deh , disini saja sudah sangat memuaskan . happy deh pokoknya , pemandangan fotonya juga bagusbagus . | (fasilitaa, lengkap, positive); (fasilitaa, nyaman, positive); (petugasnya, ramahramah, positive); (pemandangan fotonya, bagusbagus, positive)
349 | suka banget menginap disini . | 
350 | lumayan nyaman untuk backpack , sesuai dengan hargalah . | 
351 | pelayanan bagus , lumayan bersih , lebih ditinglatkan lagi terimakasih . | (pelayanan, bagus, positive)
352 | kamarnya kotor tidak ada sama sekali hal yang menunjukkan kalau inap di airy room , perlengkapan mandi satupun tidak ada , telepon dkamar tidak bisa dgunakan , pokoknya sangat mengecewakan buat saya yang pertama kali menggunakan kamar dari airy room . | (kamarnya, kotor, negative); (perlengkapan mandi, tidak ada, negative); (telepon dkamar, tidak bisa dgunakan, negative)
353 | cukup bagus , sesuai dengan tarif . hanya air panas dari shower , tidak keluar pada pagi hari . terus makanan sarapan pagi kurang enak . | (tarif, sesuai, positive); (air panas, tidak keluar, negative); (sarapan pagi, kurang enak, negative)
354 | secara umum sangat nyaman . dan bersih . walaupun dari jalan besar masuk kedalam gang cukup jauh . t . | (secara umum, sangat nyaman, positive); (secara umum, bersih, positive)
355 | lumayan nyaman dengan harga yang sebanding . | 
356 | fasilitas semua sudah baik , resepsionis juga ramah , saya menginap selama 2 hari dan di hari kedua kamar dibersihkan . sangat recomended ! | (fasilitas, baik, positive); (resepsionis, ramah, positive)
357 | cukup nyaman . sayangnya shower tidak mengalir dengan lancar , terpaksa mandi menggunakan keran air . | (shower, tidak mengalir dengan lancar, negative)
358 | awalnya sedikit kecewa karena check in terlalu malam jadi dapat kamar di basement , pihak bangka suite memberikan opsi pindah kamar di malam kedua , tetapi saya tidak jadi pindah kamar karena sudah terlalu nyaman sama kamarnya yang bersih , luas dan semua fasilitas berfungsi dengan baik . | (kamarnya, bersih, positive); (kamarnya, luas, positive); (fasilitas, berfungsi dengan baik, positive)
359 | awalnya sedikit kecewa karena check in terlalu malam jadi dapat kamar di basement , pihak bangka suite memberikan opsi pindah kamar di malam kedua , tetapi saya tidak jadi pindah kamar karena sudah terlalu nyaman sama kamarnya yang bersih , luas dan semua fasilitas berfungsi dengan baik . | (kamarnya, bersih, positive); (kamarnya, luas, positive); (fasilitas, berfungsi dengan baik, positive)
360 | sudah cukup , hanya perlu diatasi bau apek nya saja . | 
361 | lumayan disediakan air mineral , snack dan sikat gigi . | (air mineral, disediakan, positive); (snack, disediakan, positive); (sikat gigi, disediakan, positive)
362 | pemandangan keren , alat mandi lengkap , cemilan+air minum ada , tetapi kamar mandi tidak terlalu bersih . seprai dan bed covernya sempat bau pesing , sudah minta diganti tetapi tetap bau meski tidak pesing lagi . mohon diperhatikan . terima kasih airy ^^ . | (pemandangan, keren, positive); (alat mandi, lengkap, positive); (cemilan+air minum, ada, positive); (kamar mandi, tidak terlalu bersih, negative); (seprai, sempat bau pesing, negative); (bed covernya, sempat bau pesing, negative)
363 | perlu ditambah pengharum di lemarinya . overall kamarnya bersih banget , nyaman , fasilitas lengkap , ac dingin . kalau bisa sediakan line telepon untuk pemesanan taksi , karena letaknya cukup jauh dari jalan raya . | (overall kamarnya, bersih banget, positive); (overall kamarnya, nyaman, positive); (fasilitas, lengkap, positive); (ac, dingin, positive); (letaknya, jauh, negative)
364 | sangat nyaman sekali dan strategis . | 
365 | cukup memuaskan tetapi lokasinya susah ditemukan . | (lokasinya, susah ditemukan, negative)
366 | lumayan untuk istirahat . | 
367 | buruk pelayan dari resepsionis , sangat kecewa serta cukup 1x menginap tidak akan untuk selanjutnya . pesan untuk resepsionis : mmg saya menginap tidak membayar ! sopan santun sedikit terhadap tamu menginap . | (pelayan, buruk, negative)
368 | buruk pelayan dari resepsionis , sangat kecewa serta cukup 1x menginap tidak akan untuk selanjutnya . pesan untuk resepsionis : mmg saya menginap tidak membayar ! sopan santun sedikit terhadap tamu menginap . | (pelayan, buruk, negative)
369 | airy nya mantap namun kondisi bangunan kurang maintenance padahal kalau dipoles sedikit saja akan sangat reccomended sekali hotel ini serta kebersihan nya mohon dijaga . | (airy nya, mantap, positive); (kondisi bangunan, kurang maintenance, negative); (kebersihan nya, mohon dijaga, negative)
370 | tempatnya nyaman , bersih , cuma agak susah kalau cari makan . terimakasih airy . | (tempatnya, nyaman, positive); (tempatnya, bersih, positive)
371 | yang perlu ditingkatkan , ukuran ranjang yang twin kurang besar , buat yang body agak big size , terus lift nya kecil dan cuma satu . | (ranjang, kurang besar, negative); (lift nya, kecil, negative)
372 | penginapannya di dalam komplek perumahan , jadi sangat nyaman dan jauh dari kebisingan . very rekomen . | 
373 | lumayan untuk bacpakeran , harganya terjangkau banget . tempatnya bersih , cuma seprainya agak berdebu . | (harganya, terjangkau banget, positive); (tempatnya, bersih, positive); (seprainya, agak berdebu, negative)
374 | sangat memuaskan , recommended bisa dijadikan standar pelayanan airy rooms yang lainnya . | 
375 | bagus , nyaman , juga keamanan kendaraan tidak buat khawatir . cuma agak perjuangan mencapai lantai 3 he . | (keamanan kendaraan, tidak buat khawatir, positive)
376 | sangat memuaskan , mau banget balik ke hotel airy tugu yogyakarta sangaji 68 . | 
377 | sangat memuaskan , mau banget balik ke hotel airy tugu yogyakarta sangaji 68 . | 
378 | satpamnya ramah dan sigap , wifinya kencang , selain snack airy set ada tambahan coklat silverqueen . tetapi resepsionis tidak ramah , payah banget seperti keteteran begitu , kerjanya super manual , dan penampilannya seperti emak - emak habis selesaikan rumah seharian . | (satpamnya, ramah, positive); (satpamnya, sigap, positive); (wifinya, kencang, positive); (resepsionis, tidak ramah, negative)
379 | recommended banget : ) . | 
380 | sangat puas sekali . water heater mantaap , ac dngin . pokok nya recomended banget ! | (water heater, mantaap, positive); (ac, dngin, positive)
381 | sangat puas sekali . water heater mantaap , ac dngin . pokok nya recomended banget ! | (water heater, mantaap, positive); (ac, dngin, positive)
382 | kamar agak kecil , tetapi bersih , cukup untuk keluarga kecil saya . pelayanan kamar baik , hanya air panasnya tidak panas , tetapi overall oke . | (kamar, agak kecil, negative); (kamar, bersih, positive); (pelayanan kamar, baik, positive); (air panasnya, tidak panas, negative); (overall, oke, positive)
383 | lumayan dengan harga murah . | (harga, murah, positive)
384 | . jadi pelanggan tetap . | 
385 | kamarnya luas , tempatnya mudah dijangkau , dan viewnya bagus di lantai 6 . pas banget buat celebrate new year kemarin . tetapi kok sabtu minggunya jadi tidak bisa di booked lagi iya ? tolong recheck untuk room availablenya di weekend . | (kamarnya, luas, positive); (tempatnya, mudah dijangkau, positive); (viewnya, bagus, positive)
386 | sangat praktis dan sangat memuaskan . | 
387 | setiap menginap di airy pasti puas banget . pelayanannya ramah . cuma yang ini . kamar mandinya bau . air panasnya tidak nyala . tidak ada tempat sampah di kamar . tidak ada snack . padahal setiap menginap di airyroom selalu disediakan . | (pelayanannya, ramah, positive); (kamar mandinya, bau, negative); (air panasnya, tidak nyala, negative); (tempat sampah, tidak ada, negative); (snack, tidak ada, negative)
388 | bagus , walopun datang dini hari namun tetap dilayani dengan baik . | (dilayani, baik, positive)
389 | kurang nyaman kurang bersih kurang rapi dan kurang ramah pelayanannya sangat sangat kecewa baru kali ini inap di airy rooms kecewa sebelumnya sya selalu senang mnginap di airyromms . | (pelayanannya, kurang ramah, negative)
390 | kali ini sangat kecewa . tidak ada mineral water , tidak ada handuk , kamar agak kotor . mengapa seperti itu ? : ( . | (mineral water, tidak ada, negative); (handuk, tidak ada, negative); (kamar, agak kotor, negative)
391 | puas banget . bersih nyamaan muraah . saran , kalau bisa diperbanyak kamar yang disewakan untuk airy rooms , sering kehabisan pesan kamar di sini karena kamar lainnya dipakai kos hiks : ( . | 
392 | kamar sangat memuaskan . sedikit catatan sayang , lokasi penginapan ini di dalam gang . mungkin akan agak sulit ditemukan . | (kamar, sangat memuaskan, positive)
393 | kolam bernang tidak bisa digunain . pokonya kecewa banget . | (kolam, tidak bisa digunain, negative)
394 | kamar yang dikasih terlalu jauh , jadi lelah turun naik tangga . harga cucokk mehong kok . | (kamar, jauh, negative); (harga, cucokk, positive)
395 | kamar yang dikasih terlalu jauh , jadi lelah turun naik tangga . harga cucokk mehong kok . | (kamar, jauh, negative); (harga, cucokk, positive)
396 | sangat bagus dan bersih seperti di gambar . | 
397 | cukup bagus kalau cuma untuk dipakai tidur . kalau dipakai berlama lama agak kurang nyaman saja . he . overall oke lah . bersih . | (overall, oke, positive)
398 | cukup bagus kalau cuma untuk dipakai tidur . kalau dipakai berlama lama agak kurang nyaman saja . he . overall oke lah . bersih . | (overall, oke, positive)
399 | lumayan bersih dan nyaman . | 
400 | its so worth it ! kamar yang luas , kebersihan lumayan , lokasi strategis . cukup menyenangkan sih menginap disini . apalagi waktu kemarin itu ada diskon 50 , jadi jatohnya itu murah banget ! . | (kamar, luas, positive); (kebersihan, lumayan, positive); (lokasi, strategis, positive)
401 | its so worth it ! kamar yang luas , kebersihan lumayan , lokasi strategis . cukup menyenangkan sih menginap disini . apalagi waktu kemarin itu ada diskon 50 , jadi jatohnya itu murah banget ! . | (kamar, luas, positive); (kebersihan, lumayan, positive); (lokasi, strategis, positive)
402 | kamar nya kotor dan sempit , handuknya tipis dan bau air mani . kamar mandi nya banjir air lama mengalir . saya langsung cek out setelah melihat kondisi kamarnya . pokoknya tidak recomended banget . nyesal juga tidak sesuai sama fotonya menipu banget kapok deh . | (kamar nya, kotor, negative); (kamar nya, sempit, negative); (handuknya, tipis, negative); (handuknya, bau air mani, negative); (kamar mandi nya, banjir, negative)
403 | lumayan tetapi bantal airy nya sedikit kotor . | (bantal airy nya, sedikit kotor, negative)
404 | ada rupa ada harga . lumayan lah . | 
405 | cukup baik , lokasi sangat strategis . | (lokasi, sangat strategis, positive)
406 | sangat dekat dengan terminal tirtonadi hanya 100m . bisa jalan kaki . | 
407 | cukup baik . tetapi lebih apik lagi membereskan kasurnya . masa ada pakaian dalam di dalam selimutnya ! sarapan oklah . | (sarapan, oklah, positive)
408 | saya lihat bed seperti di hotel krbanyakan . tetapi saya tidak boleh stay . karena ordernya hanya untuk 1 orang . dan kalau tetap mau tinggal saya harus bayar sejumlah 4x50.000 = 200.000 lagi . | 
409 | lumayan untuk budget hotel . cuma banyak nyamuk . | 
410 | bagus . tetapi terlalu terpencil . resepsionis pun tidak 24 jam . | (resepsionis, tidak 24 jam, negative)
411 | bagus . tetapi terlalu terpencil . resepsionis pun tidak 24 jam . | (resepsionis, tidak 24 jam, negative)
412 | tempatnya bagus , kamar mandi bersih , ada hairdryer juga recom banget deh . | (tempatnya, bagus, positive); (kamar mandi, bersih, positive); (hairdryer, ada, positive)
413 | kondisi kamar baik hanya saja kurang bersih , terlihat debu di lantai dan furniture terutama di kotak snack , lalu semprotan toiletnya lepas . kamarnya juga bau rokok , namun setelah melapor pada housekeeping langsung disemprot , sayangnya ternyata di kamar mandi bau rokoknya tetap tidak hilang . kasurnya lumayan empuk . menu sarapan alakadarnya . | (kamar, baik, positive); (kamar, kurang bersih, negative); (kamarnya, bau rokok, negative); (kamar mandi, bau, negative); (kasurnya, lumayan empuk, positive); (menu sarapan, alakadarnya, negative)
414 | lumayan oke , ac snack tv perlengkapan mandi ada . | (ac, ada, positive); (snack, ada, positive); (tv, ada, positive); (perlengkapan mandi, ada, positive)
415 | lumayan lah . tetapi kamar agak sempit . tempat bersih . pelayanan ramah . | (kamar, agak sempit, negative); (tempat, bersih, positive); (pelayanan, ramah, positive)
416 | sangat nyaman dengan harga segitu . sangat recomended . | 
417 | cukup memuaskan , lokasi strategis . | (lokasi, strategis, positive)
418 | saya suka , nyaman dan tenang , hanya saja kamar mandi sedikit berbau tetapi buat saya tidak masalah tetap puas . | (kamar mandi, sedikit berbau, negative)
419 | sudah 2 kali di sini . servis , lokasi dan kamar oke . rate kompetitif . hanya saja cukup strict untuk waktu checkin . | (servis, oke, positive); (lokasi, oke, positive); (kamar, oke, positive)
420 | bersih , petugas ramah , lokasi strategis dan sekarang sudah jadi langganan tetap . | (petugas, ramah, positive); (lokasi, strategis, positive)
421 | awalnya kami diberikan kamar yang belum dibersihkan . setelah kami keluhan , kami cukup puas . | 
422 | lumayan lah . bersih , ramah dan dekat dengan tempat tempat kuliner dan mal . | 
423 | ini adalah 1x saya pakai airy . kesan 1 memang beda pelayanan dengan hotel berbintang , tetapi fine . kaget surprise dan senang banget dapat box meal free pula . kebersihan kerapian kamar keren deh . apalagi kamar mandi bathup mantap wes . sayang ac kurang dingin , tv mati hidup sendiri berulangberulang bahkan respons resepsionis buruk . internet jelek banget . lumayan saja wes . | (kebersihan kerapian kamar, keren, positive); (kamar mandi, mantap, positive); (ac, kurang dingin, negative); (tv, mati hidup sendiri, negative); (resepsionis, buruk, negative); (internet, jelek banget, negative)
424 | kamarnya luas , lokasinya lumayan jauh dari jalan utama , tetapi kalau mau kemana mana pakai angkutan on . | (kamarnya, luas, positive)
425 | tidak enak banget lah pokoknya enakan bobo di rumah . | 
426 | cukup bersih . tetapi bangunan sudah tua . jadi kurang fresh . | (bangunan, tua, negative)
427 | baiknya cuma dekat dengan perbelanjaan cihampelas . kamarnya lembab , cat nya sudah lapuk , agak berdebu , seprainya kurang bersih dan tanpa logo airy rooms , debit air nya kecil ( kurang puas mandinya ) , tidak ada remote ac ( jadi minta petugas buat atur suhu . | (kamarnya, lembab, negative); (cat nya, lapuk, negative); (seprainya, kurang bersih, negative); (air nya, kecil, negative); (air nya, kurang puas, negative); (remote, tidak ada, negative)
428 | sangat memuaskan dengan harga segitu . | 
429 | tempatnya nyaman , ada welcome snack nya . sangat menarik . | (tempatnya, nyaman, positive); (welcome snack nya, ada, positive)
430 | lumayan bagus nanti kalau ke jakarta lagi menginap di sini lagi . | 
431 | kamar bersih , pelayanan ramah , harga terjangkau , sangat memuaskan . | (kamar, bersih, positive); (pelayanan, ramah, positive); (harga, terjangkau, positive)
432 | cukup ramah pelayanan nya baik karena menyediakan pemesanan makanan minuman , namun perlu diperbaiki dari segi fasilitas kamar seperti stopkontak nya di tambah , air hangatnya kadang tidak berfungsi maka perlu di cek berkala . | (pelayanan nya, baik, positive); (fasilitas kamar, perlu diperbaiki, negative); (air hangatnya, kadang tidak berfungsi, negative)
433 | lokasi cukup strategis meskipun di jalan satu mobil . seprai set lebih ditingkatkan kebersihannya . kamar dan kamar mandi akan terasa lebih segar apabila diberi pengharum ruangan . snack ada 3 macam cukup mengenyangkan untuk sarapan . air minum mineral botol sebaiknya yang 600ml , jangan 330ml karena terlalu sedikit ( dari sisi harga juga tidak beda banyak ) . | (lokasi, cukup strategis, positive); (kebersihannya, lebih ditingkatkan, negative)
434 | lokasi cukup strategis meskipun di jalan satu mobil . seprai set lebih ditingkatkan kebersihannya . kamar dan kamar mandi akan terasa lebih segar apabila diberi pengharum ruangan . snack ada 3 macam cukup mengenyangkan untuk sarapan . air minum mineral botol sebaiknya yang 600ml , jangan 330ml karena terlalu sedikit ( dari sisi harga juga tidak beda banyak ) . | (lokasi, cukup strategis, positive); (kebersihannya, lebih ditingkatkan, negative)
435 | lumayan kok . bersih tempatnya . nyaman juga . cuma agak jau ke jalan raya besar . tetapi don't worry ada angkot buat backpacker . | (tempatnya, bersih, positive)
436 | lumayan kok . bersih tempatnya . nyaman juga . cuma agak jau ke jalan raya besar . tetapi don't worry ada angkot buat backpacker . | (tempatnya, bersih, positive)
437 | baik , dekat dengan sekolah jadi agak berisik . | 
438 | lokasi memang agak masuk ke dalam gang dan belum ada plang airy karena baru seminggu hotel ini beroperasi . tetapi kualitas dan pelayanan hotel oke banget ! | (kualitas, oke banget, positive); (pelayanan hotel, oke banget, positive)
439 | lumayan lah , not bad . untuk semalam . | 
440 | air kecil , kolam kotor , ac tidak dingin , sedih banget deh , tetapi petugasnya baik . | (air, kecil, negative); (kolam, kotor, negative); (ac, tidak dingin, negative); (petugasnya, baik, positive)
441 | sangat nyaman banget buat yang butuh harga terjangkau dengan kamar yang bisa disamakan dengan harga hotel 400rbuan . good rooms deh buat yang ini . | (harga, terjangkau, positive)
442 | sangat nyaman banget buat yang butuh harga terjangkau dengan kamar yang bisa disamakan dengan harga hotel 400rbuan . good rooms deh buat yang ini . | (harga, terjangkau, positive)
443 | cukup nyaman untuk sekedar beristirahat . | 
444 | homey dan cukup nyaman , hanya perlu ditambahkan sedikit tentang varian sarapan dan kebersihan area bapak . | (varian sarapan, perlu ditambahkan sedikit, positive); (kebersihan area, perlu ditambahkan sedikit, positive)
445 | kecewa banget aku di sana . enga layak huni . enga di kasih tahu pasword wifinya . kasurnya enga enak , lebih baik ke hotel lain saja . kecewa sumpah ! | (kasurnya, enga enak, negative)
446 | hotelnya bagus , dekat ciwalk jadi banyak kuliner dan tempat belanja . ada kolam renangnya juga . lumayan buat olah raga sedikt . | (hotelnya, bagus, positive)
447 | karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan . | (kebersihan, tidak diperhatikan, negative)
448 | karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan . | (kebersihan, tidak diperhatikan, negative)
449 | lumayan , karena cukup murah terus dekat sama plaza , pizza hut , mcd , kfc , dsb. buat yang mau bawa pacar aman temanteman , gas saja . tertawa . | 
450 | lumayan , karena cukup murah terus dekat sama plaza , pizza hut , mcd , kfc , dsb. buat yang mau bawa pacar aman temanteman , gas saja . tertawa . | 
451 | sudah pastii sangat bersihh rekomen ini mah . | 
452 | suasana enak , hotel nuansa jawa banget atau klasik . kamar besar nyaman . satu hal yang buat kurang . hotel kalau tidak ada tamu jadi sepi banget , nek malam jadi seram . pos satuan pengamanan gelap . resto gelap , resepsionis sendiri . pas pagi pun resepsionis masih sendiri , masakin sarapan terus balik jaga front office . | (suasana, enak, positive); (kamar, besar, positive); (kamar, nyaman, positive); (pos satuan pengamanan, gelap, negative); (resto, gelap, negative); (resepsionis, sendiri, negative)
453 | ini pertama kalinya saya memesan airy rooms . saya pesan tanggal 13april untuk menginap tanggal 28april . tetapi ketika saya sampai di hotel , kamar yang saya booking tidak ada dan pihak hotel mengembalikan uang saya , alhasil saya harus mencari hotel lain pada hari itu ! sangat mengecewakan karena tidak ada pemberitahuan dari jauh hari ! tidak profesional ! | 
454 | sangat murah dan nyaman . | 
455 | room nya luas dan ac nya ducting , kece banget apalagi dapat diskon 50 dari airy . hanya kurang adalah kunci pintu yang susah sekali seperti sudah rusak dan model lama . sarapan enak , tetapi beberapa masakan seperti sudah dipanaskan berkaliberkali . tv indovision , untuk harga diskon , room ini baik sekali . | (room nya, luas, positive); (ac nya, ducting, positive); (sarapan, enak, positive); (room, baik sekali, positive)
456 | puas sangat mwembantu . | 
457 | biasa saja sempit tidak seperti yang saya pikir kantan lumayan lau buat istirahat tidak berisik . | 
458 | kamar nya bersih , dekat banget dengan bandara . | (kamar nya, bersih, positive)
459 | lokasi yang alami berada di lereng bukit . memberikan nuansa alam yang sangat indah . | 
460 | banyak nyamuk , uang deposit lebih mahal dibandingkan harga kamarnya , ktp juga di tahan selama stay sangat tidak rekomen untuk menginap di sini . | 
461 | sebenarnya saat saya masuk dan lihat kondisinya , saya merasa cukup puas jika disesuaikan dengan harganya . yang membuat saya kecewa adalah , penjaganya tidak ada di tempat ( sedang pergi ) dan perlengkapan mandi juga tidak tersedia , khususnya handuk , saya dapat bekas orang pakai , kemungkinan kamar yang saya pakai belum sempat dibersihkan oleh penjaganya sebelum dia pergi . terimakasih . | (penjaganya, tidak ada, negative); (perlengkapan mandi, tidak tersedia, negative); (handuk, tidak tersedia, negative)
462 | menginap disini nyaman banget . | 
463 | amat sangat mengecewakan sekali . | 
464 | lumayan . tetapi kebersihanya masih kurang . selimut dan bantal nya kuning . harap ditingkat kan lagi . kebersihan nya . | (kebersihanya, kurang, negative); (selimut, kuning, negative); (bantal nya, kuning, negative); (kebersihan nya, ditingkat kan lagi, negative)
465 | bersih , rapi , aman , ramah dan recommended banget . | 
466 | memuaskan . sangat mewah . | 
467 | lumayan untuk ukuran backpacker . | 
468 | nyaman banget . | 
469 | sangat tidak memuaskan ! kamar penuh nyamuk , minta obat nyamuk semprot saja tidak ada . | (kamar, penuh nyamuk, negative)
470 | menu sarapan nya banyak dan enak tetapi sayang , saya dapat nya kamar 222 gedung lama sarang nyamuk banyak banget nyamuk di kamar oleh untuk untuk untuk . garagara masuk lewat bawah pintu . | (menu sarapan nya, banyak, positive); (menu sarapan nya, enak, positive)
471 | semula kamar nyaman dan bersih , tetapi ketika hujan ada rembesan air yang cukup banyak masuk dalam kamar . | (kamar, nyaman, positive); (kamar, bersih, positive)
472 | cukup bagus buat yang backpackeran . buat keluarga tidak cocok karena bersebelahan dengan club karaoke . | 
473 | jangan menginap disini deh . lebih baik cari hotel lain . kelas deluxe tetapi seperti ekonomi sempit sekali , wc bau , colokkan listrik tidak ada . mau charger hp tidak bisa . nghabiskan uang saja . sangat kecewa . | (wc, bau, negative); (colokkan listrik, tidak ada, negative)
474 | terlalu berdebu dan kurang menarik . | 
475 | terlalu berdebu dan kurang menarik . | 
476 | kamar sangat bersih nyaman . pelayanan ramah . islamii banget . | (kamar, sangat bersih nyaman, positive); (pelayanan, ramah, positive)
477 | lumayan depan kolam renang , ac dingin , . | (ac, dingin, positive)
478 | pelayanan ramah sekali , namun gang jalan masuk terlalu kecil . untuk kamar nya sendiri ac nya kurang dingin , banyak nyamuk . | (pelayanan, ramah sekali, positive); (ac nya, kurang dingin, negative)
479 | pelayanan ramah sekali , namun gang jalan masuk terlalu kecil . untuk kamar nya sendiri ac nya kurang dingin , banyak nyamuk . | (pelayanan, ramah sekali, positive); (ac nya, kurang dingin, negative)
480 | lumayan bagus , tempat dkat dengan malioboro . harga hemat . | (harga, hemat, positive)
481 | cukup nyaman , kualitas air dan wifi bagus . | (kualitas air, bagus, positive); (wifi, bagus, positive)
482 | bagus tetapi agak sempit . | 
483 | extra bednya yang kurang , terlalu soft saat ditiduri kasurnya . | (kasurnya, soft, negative)
484 | extra bednya yang kurang , terlalu soft saat ditiduri kasurnya . | (kasurnya, soft, negative)
485 | nyaman , ramah dan terjangkau , tidak terlalu dekat pusat kota jadi udaranya masih bersih dan sejuk . | (udaranya, bersih, positive); (udaranya, sejuk, positive)
486 | nyaman , ramah dan terjangkau , tidak terlalu dekat pusat kota jadi udaranya masih bersih dan sejuk . | (udaranya, bersih, positive); (udaranya, sejuk, positive)
487 | bagus , tidak ramai . tidak terlalu jauh dari pizza hut , kfc , dan mcd . bersih . kolamnya bagus . | (kolamnya, bagus, positive)
488 | bagus , tidak ramai . tidak terlalu jauh dari pizza hut , kfc , dan mcd . bersih . kolamnya bagus . | (kolamnya, bagus, positive)
489 | saya sangat suka dengan lingkungannya yang nyaman , kamarnya yang bersih , dan shower di kamar mandi yang kencang . jadi untuk kamar tidak ada masalah . namun untuk pegawai resepsionisnya kurang ramah pada tamu , sangat jarang sekali tersenyum dan justru terkesan tidak bersahabat . jadi saya memberikan " kurang baik " untuk attitude pegawainya . | (lingkungannya, nyaman, positive); (kamarnya, bersih, positive); (shower, kencang, positive); (pegawai resepsionisnya, kurang ramah, negative); (pegawai resepsionisnya, tidak bersahabat, negative); (attitude pegawainya, kurang baik, negative)
490 | bagus banget jk kita bandingkan dengan harga yang kita dapatkan . tidak akan nyesal deh . | 
491 | sangat kecewa kami sudah lelah mencari , akhirnya kami cari hotel lain ! | 
492 | lumayan . tetapi kamar mandi agak menggenang . lama durutnya . | (kamar mandi, agak menggenang, negative)
493 | kamar bersih , ac dingin , tetapi sarung bantal + seprai tidak bersih , masih ada noda , jadi kurang nyaman , minta yang baru tetap masih ada nodanya . | (kamar, bersih, positive); (ac, dingin, positive); (sarung bantal, tidak bersih, negative); (seprai, tidak bersih, negative)
494 | nyaman dan fasilitas lumayan lengkap . hanya kebersihannya tidak di lakukan setiap hari berhubung saya menginap lebih dari 1 malam jadi agak risih dengan lantai yang tidak di bersihkan . untuk air mineral hanya diberikan saat check in dan untuk snacknya tidak ada . | (fasilitas, lumayan lengkap, positive); (snacknya, tidak ada, negative)
495 | cukup baik . | 
496 | sangat nyaman , kamar bersih , layanan 24 jam , pelayanan ramah tetapi hanya lokasi saja yang terlalu sepi dikarenakan di dalam perkomplekan . cari warung susah . harus keluar jauh dulu . | (kamar, bersih, positive); (pelayanan, ramah, positive)
497 | sangat nyaman , kamar bersih , layanan 24 jam , pelayanan ramah tetapi hanya lokasi saja yang terlalu sepi dikarenakan di dalam perkomplekan . cari warung susah . harus keluar jauh dulu . | (kamar, bersih, positive); (pelayanan, ramah, positive)
498 | sangat nyaman , kamar bersih , layanan 24 jam , pelayanan ramah tetapi hanya lokasi saja yang terlalu sepi dikarenakan di dalam perkomplekan . cari warung susah . harus keluar jauh dulu . | (kamar, bersih, positive); (pelayanan, ramah, positive)
499 | puas banget , overall bagus , betah tinggal di sini , next pasti datang lagi , terimakasih airy . | (overall, bagus, positive)
500 | sangat memuaskan . akhir pekan sering full booked . | 
